"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 13 02:34:09 UTC 2023","Wed Sep 13 02:34:12 UTC 2023","3352","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Sep 13 09:13:06 UTC 2023","Wed Sep 13 09:17:28 UTC 2023","261877","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Sep 13 02:51:32 UTC 2023","Wed Sep 13 02:51:45 UTC 2023","13462","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Sep 13 08:54:03 UTC 2023","Wed Sep 13 08:54:43 UTC 2023","39645","","17.0 Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed Sep 13 02:47:48 UTC 2023","Wed Sep 13 02:47:50 UTC 2023","2574","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Sep 13 09:23:24 UTC 2023","Wed Sep 13 09:23:33 UTC 2023","9699","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Sep 13 08:26:33 UTC 2023","Wed Sep 13 08:26:35 UTC 2023","2081","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Sep 13 09:31:57 UTC 2023","Wed Sep 13 09:32:02 UTC 2023","4876","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Sep 13 02:38:25 UTC 2023","Wed Sep 13 02:38:34 UTC 2023","8227","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Sep 13 02:29:42 UTC 2023","Wed Sep 13 02:29:43 UTC 2023","672","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Sep 13 02:27:20 UTC 2023","Wed Sep 13 02:27:26 UTC 2023","6437","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Sep 13 09:20:43 UTC 2023","Wed Sep 13 09:20:52 UTC 2023","9671","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Sep 13 08:17:10 UTC 2023","Wed Sep 13 08:17:33 UTC 2023","22764","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Sep 13 09:23:17 UTC 2023","Wed Sep 13 09:23:23 UTC 2023","5956","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Sep 13 08:26:36 UTC 2023","Wed Sep 13 08:26:47 UTC 2023","11184","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Sep 13 02:19:38 UTC 2023","Wed Sep 13 02:19:48 UTC 2023","10046","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Sep 13 08:43:12 UTC 2023","Wed Sep 13 08:43:14 UTC 2023","1096","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Sep 13 02:19:48 UTC 2023","Wed Sep 13 02:20:15 UTC 2023","26584","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Sep 13 08:50:57 UTC 2023","Wed Sep 13 08:51:01 UTC 2023","4005","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Sep 13 08:43:42 UTC 2023","Wed Sep 13 08:44:22 UTC 2023","40511","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Sep 13 09:02:03 UTC 2023","Wed Sep 13 09:02:55 UTC 2023","51806","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Sep 13 02:29:27 UTC 2023","Wed Sep 13 02:29:32 UTC 2023","4518","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Sep 13 08:32:17 UTC 2023","Wed Sep 13 08:32:22 UTC 2023","5091","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Sep 13 02:51:29 UTC 2023","Wed Sep 13 02:51:32 UTC 2023","2472","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Sep 13 09:42:53 UTC 2023","Wed Sep 13 09:42:55 UTC 2023","1924","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Sep 13 09:42:10 UTC 2023","Wed Sep 13 09:42:11 UTC 2023","1443","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Sep 13 02:23:08 UTC 2023","Wed Sep 13 02:23:14 UTC 2023","5455","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Sep 13 08:43:40 UTC 2023","Wed Sep 13 08:43:42 UTC 2023","1924","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Sep 13 08:29:42 UTC 2023","Wed Sep 13 08:29:43 UTC 2023","1864","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Sep 13 08:59:18 UTC 2023","Wed Sep 13 08:59:38 UTC 2023","20306","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Sep 13 02:32:22 UTC 2023","Wed Sep 13 02:32:41 UTC 2023","18785","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Sep 13 08:51:13 UTC 2023","Wed Sep 13 08:51:18 UTC 2023","5319","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Sep 13 08:29:44 UTC 2023","Wed Sep 13 08:30:03 UTC 2023","19646","","11. Client Portal - Administration","","","","4. Check Administration Page",""
